hg38 state,Best matching hg19 state,Enrichments in hg38 model for the best matching hg19 state,Notable Enrichments in the hg19 model for best matching hg19 state,
42,28,80.3,"Most enriched state for TSS, CpG islands, regulation of cellular process genes, chromatin states TssA, PromU, PromD1, PromP, PromBiv, and Low Complexity class and family Repeats; Top 7 most enriched state for DHS in non-exons",
43,45,45.9,,
44,58,57.2,,
45,72,43.7,,
46,70,106.7,,
47,69,41.3,,
48,24,20.4,,
49,62,166.3,,
50,61,145.3,,
51,60,107.2,,
52,59,125.6,,
53,57,106.8,Top 6 most enriched state for common variation and CG dinucleotides,
54,56,33.7,Top 6 most enriched state for common variation and CG dinucleotides,
55,34,96.0,,
56,43,62.8,,
57,44,40.0,Most enriched state for TcMar-Tc2 family repeats,
58,40,92.1,Most enriched state for hAT-Tip100 family repeats,
59,39,61.7,,
60,30,50.1,,
61,31,79.7,,
62,23,76.5,Most enriched state for L2 family repeats,
63,26,58.3,,
64,63,25.5,,
65,64,88.7,Most enriched for LTR family repeats,
66,66,59.1,,
67,67,39.9,,
68,68,58.2,Most enriched state for ERVL and ERV family repeats,
69,65,66.0,,
70,65,56.5,,
71,83,14.0,,
72,76,10.6,"Most enriched state for LTR class and ERVL-MaLR, PiggyBac, and TcMar-Mariner family repeats",
73,77,44.7,"Most enriched state for SINE class, and Alu family repeats and Tx5' and TxWk chromatin states",
74,74,52.8,"Most enriched state for DNA class and Merlin, MuDR and TcMar-Tigger family repeats",
75,75,18.9,"Most enriched state for RNA, scRNA,  snRNA and srpRNA class and family repeats",
76,75,23.7,"Most enriched state for RNA, scRNA,  snRNA and srpRNA class and family repeats",
77,76,19.8,"Most enriched state for LTR class and ERVL-MaLR, PiggyBac, and TcMar-Mariner family repeats",
78,76,18.5,"Most enriched state for LTR class and ERVL-MaLR, PiggyBac, and TcMar-Mariner family repeats",
79,78,48.0,,
80,81,17.3,,
81,79,27.8,,
82,81,29.7,,
83,80,46.1,,
84,85,48.3,,
85,85,24.8,,
86,86,42.9,"Most enriched state for LINE class, L1 family repeats, and Quies chromatin state",
87,82,76.7,"Most enriched for ReprPC chromatin state; Top 5 most enriched for CpG islands; Second most enriched for TSS, Exons, and TES of pseudogenes and ZNF/Rpts chromatin state; Top 5 enriched for CpG islands",
88,88,103.5,Top 6 most enriched state for common variation and CG dinucleotides,
89,87,127.3,Top 6 most enriched state for common variation and CG dinucleotides,
90,87,28.5,Top 6 most enriched state for common variation and CG dinucleotides,
91,94,45.8,,
92,96,71.9,"Most enriched state for assembly gaps, centr family repeats",
93,97,51.7,Most enriched state for Satellite and Other class and family repeats,
94,98,136.9,,
95,99,77.6,,
96,92,45.3,Most enriched state for EnhAc chromatin state; 2nd most enriched for ERVK family repeats,
97,92,28.8,Most enriched state for EnhAc chromatin state; 2nd most enriched for ERVK family repeats,
98,91,61.4,,
99,90,64.4,,
100,100,245.2,"Most enriched state for TSS, Exons, TES of pseudogenes, ZNF/Rpts chromatin state, tRNA class and family repeats, protein-DNA complex assembly genes; Top 7 most enriched for PhastCons constrained elements; Top 5 avg PhyloP score",
